text,label
"Hướng dẫn cài đặt Docker Compose và triển khai ứng dụng Spring Boot trên môi trường Linux",1
"Phân tích sự khác biệt giữa thuật toán Dijkstra và Bellman-Ford trong đồ thị có trọng số",1
"Giải thích cơ chế hoạt động của mạng neural LSTM trong xử lý ngôn ngữ tự nhiên",1
"Chứng minh bất đẳng thức Cauchy–Schwarz và ứng dụng trong hình học giải tích",1
"Phân tích mối quan hệ giữa tăng trưởng GDP và lạm phát tại Việt Nam giai đoạn 2010–2020",1
"Trình bày nguyên lý bảo toàn năng lượng trong vật lý và ví dụ minh họa",1
"Đánh giá hiệu quả của phương pháp học theo dự án (Project-based learning) trong giáo dục đại học",1
"Nghiên cứu ảnh hưởng của ánh sáng lên tốc độ quang hợp của thực vật",1
"Phân tích thuật toán sắp xếp Merge Sort và độ phức tạp thời gian của nó",1
"Trình bày kiến trúc của mô hình Transformer và ưu điểm so với RNN truyền thống",1
"Mô phỏng chuyển động rơi tự do trong môi trường không có ma sát",1
"Viết báo cáo thí nghiệm đo lực căng dây bằng cảm biến lực",1
"Phân tích các yếu tố ảnh hưởng đến hành vi mua sắm trực tuyến của sinh viên",1
"Trình bày cấu trúc hệ gen của vi khuẩn E.coli và quá trình nhân đôi DNA",1
"Phân tích sự biến đổi của nhiệt độ Trái Đất trong 100 năm qua dựa trên số liệu NOAA",1
"Nghiên cứu tác động của mạng xã hội đến hiệu quả học tập của sinh viên đại học",1
"Giải thích định lý nhị thức Newton và ứng dụng trong tổ hợp",1
"Trình bày thuật toán BFS và DFS và ứng dụng trong xử lý dữ liệu lớn",1
"Phân tích mô hình chiết khấu dòng tiền (DCF) trong định giá doanh nghiệp",1
"Giải thích sự khác biệt giữa UDP và TCP trong giao thức mạng",1
"Phân tích hiệu quả của phương pháp học máy trong phân loại ảnh y tế",1
"Giới thiệu hệ mặt trời và quỹ đạo các hành tinh theo mô hình Kepler",1
"Trình bày khái niệm về entropy trong lý thuyết thông tin và ứng dụng",1
"Phân tích cấu trúc cây đỏ-đen và ứng dụng trong lập trình hệ thống",1
"Viết báo cáo về tính chất hóa học của kim loại kiềm và kiềm thổ",1
"Giải thích mô hình tuyến tính ARIMA và ứng dụng trong dự báo thời gian",1
"Nghiên cứu chỉ số phát triển con người (HDI) và sự khác biệt giữa các vùng miền",1
"Phân tích thuật toán tối ưu Adam và sự hội tụ trong mạng học sâu",1
"Giải thích cấu tạo của tế bào nhân thực và vai trò của từng bào quan",1
"Nghiên cứu tác động của biến đổi khí hậu đến sản xuất nông nghiệp tại Đồng bằng SCL",1
"Trình bày chu trình Krebs và vai trò trong hô hấp tế bào",1
"Giải thích nguyên lý hoạt động của laser bán dẫn",1
"Phân tích mô hình 7P trong marketing dịch vụ",1
"Nghiên cứu hành vi người tiêu dùng dựa trên dữ liệu khảo sát",1
"Phân tích số phức trong mặt phẳng và ứng dụng trong kỹ thuật điện",1
"Trình bày kiến trúc lưu trữ của hệ quản trị cơ sở dữ liệu PostgreSQL",1
"Phân tích phép biến đổi Fourier và ứng dụng trong xử lý tín hiệu",1
"Giải thích mô hình hồi quy logistic và ứng dụng trong phân loại",1
"Trình bày lịch sử hình thành ngôn ngữ lập trình Java và các phiên bản chính",1
"Đánh giá mức độ ô nhiễm không khí tại thành phố Cần Thơ dựa trên chỉ số AQI",1
"Phân tích thuật toán backtracking trong bài toán N-Queens",1
"Giải thích cách hoạt động của blockchain và cơ chế đồng thuận PoS",1
"Phân tích quá trình trao đổi chất ở động vật có xương sống",1
"Trình bày quy trình nghiên cứu khoa học và các bước thực hiện đề tài",1
"Phân tích sự khác biệt giữa mạng LAN, MAN và WAN",1
"Giải thích nguyên lý cảm ứng điện từ theo Faraday",1
"Phân tích mô hình chi phí trong quản trị doanh nghiệp",1
"Giải thích kỹ thuật regularization trong học sâu",1
"Giới thiệu kiến trúc client-server và ưu nhược điểm",1
"Trình bày quy trình xử lý nước thải sinh hoạt",1
"Phân tích thuật toán nén Huffman và ứng dụng",1
"Giải thích mô hình Markov ẩn HMM và ứng dụng trong nhận dạng tiếng nói",1
"Đánh giá hiệu suất của năng lượng mặt trời tại khu vực ĐBSCL",1
"Phân tích kiến trúc microservices và ưu điểm trong hệ thống lớn",1
"Giải thích mô hình phân cụm K-means và cách chọn số cụm tối ưu",1
"Phân tích hệ số tương quan Pearson và Spearman",1
"Trình bày cấu trúc cây AVL và ứng dụng",1
"Giải thích sự tiến hóa của loài người theo thuyết Darwin",1
"Trình bày các giai đoạn của chu trình sống của thực vật",1
"Phân tích lợi ích của trí tuệ nhân tạo trong giáo dục hiện đại",1
"Giải thích cơ chế hoạt động của hệ thống GPS",1
"Phân tích mô hình kiến trúc 3 lớp trong ứng dụng web",1
"Trình bày phương pháp tính tích phân bằng quy tắc Simpson",1
